epoch,accuracy,num_predictions
0,57.72,34676
1,57.77,50744
2,58.65,56993
3,57.88,109362
4,58.51,123203
5,59.86,112734
6,59.38,121739
7,59.31,124709
8,59.7,121375
9,59.7,122421
10,59.78,123369
11,59.79,123850
12,59.74,124931
13,59.53,127181
14,59.49,127774
15,59.57,127579
16,59.82,125709
17,59.73,127088
18,59.76,126948
19,59.72,128098
20,59.72,128730
21,59.85,128167
22,59.77,129535
23,59.96,127932
24,60.1,126552
25,60.02,128043
26,60.04,128517
27,60.25,127007
28,60.27,127206
29,60.33,126731
30,60.21,128448
31,60.28,127312
32,60.43,125794
33,60.08,131580
34,60.29,129036
35,60.28,129668
36,60.46,127306
37,60.33,130010
38,60.28,130831
39,60.3,130573
40,60.3,130736
41,60.33,130810
42,60.46,129387
43,60.39,131177
44,60.43,131316
45,60.31,132700
46,60.31,133271
47,60.41,131927
48,60.38,133246
49,60.35,134062
