epoch,accuracy,num_predictions
0,52.11,5055
1,51.89,9755
2,51.78,13613
3,51.59,14610
4,51.72,15662
5,51.66,17283
6,51.75,18248
7,51.79,19807
8,51.74,20216
9,51.78,20541
10,51.72,21667
11,51.83,21533
12,51.87,22735
13,51.79,22761
14,51.85,23040
15,51.75,23847
16,51.67,23554
17,51.65,24464
18,51.61,24697
19,51.67,25047
20,51.67,25299
21,51.66,24975
22,51.72,25392
23,51.67,25831
24,51.61,26843
25,51.68,26307
26,51.67,26781
27,51.61,27433
28,51.69,27065
29,51.53,27439
