epoch,loss
0,0.6921599815631735
1,0.6915001047068629
2,0.6913754693393049
3,0.6911795385952654
4,0.6910428014294855
5,0.6908616690800108
6,0.69064317900559
7,0.6903852923163052
8,0.6900599907184469
9,0.6894695676606277
10,0.6885423989131533
11,0.6872271176042228
12,0.6858892111942686
13,0.6849018623088968
14,0.6837176618904903
15,0.68264757353684
16,0.6816852174956223
17,0.6805952006372912
18,0.6791269368138807
19,0.677786531119511
20,0.6769098742254849
21,0.675900229092302
22,0.6745369352143387
23,0.6736778390818629
24,0.6726818742423222
