epoch,accuracy,num_predictions
0,54.08,149789
1,56.29,137202
2,57.59,133781
3,57.86,136022
4,58.48,133526
5,58.44,146928
6,61.83,125438
7,64.74,115492
8,63.7,142255
9,63.7,147492
10,64.6,138812
11,64.73,139985
12,64.8,141221
13,64.7,143253
14,64.85,142345
15,64.69,144274
16,64.59,145967
17,64.78,144412
18,64.49,148993
19,64.62,147652
20,64.75,146194
21,64.59,148694
22,64.37,151576
23,64.6,149083
24,64.63,149466
25,64.77,147911
26,64.4,152432
27,64.58,150587
28,64.63,150034
29,64.53,150984
30,64.7,149882
31,64.57,151019
32,64.59,151234
33,64.66,150221
34,64.53,151935
35,64.5,152214
36,64.68,150891
37,64.63,151575
38,64.69,151437
39,64.86,149178
40,64.69,151529
41,64.55,153726
42,64.85,150126
43,64.82,150916
44,64.62,153500
45,64.7,152865
46,64.69,152830
47,64.7,152783
48,64.69,153012
49,64.77,152711
