epoch,accuracy,num_predictions
0,53.89,142096
1,55.79,130422
2,55.42,159094
3,55.93,161125
4,56.95,151972
5,57.4,150564
6,59.5,131015
7,59.83,138160
8,59.98,163200
9,64.52,125634
10,61.46,172868
11,63.98,146341
12,62.36,167083
13,63.38,155964
14,62.92,162816
15,63.07,161695
16,63.04,162856
17,62.96,164140
18,62.86,165604
19,63.01,164491
20,62.83,166264
21,62.99,165354
22,62.86,166716
23,62.91,166604
24,62.77,168394
25,62.95,167028
26,62.74,169443
27,62.93,167340
28,62.87,168383
29,62.89,168305
30,62.82,169870
31,62.89,169741
32,62.93,169505
33,62.83,170829
34,62.92,169634
35,62.86,170549
36,62.99,169531
37,62.9,170615
38,62.9,171189
39,63.03,170127
40,62.98,170977
41,63.09,169996
42,62.98,171419
43,63.06,170615
44,63.07,170866
45,63.12,170687
46,63.02,171665
47,63.11,170752
48,63.14,170730
49,63.14,170842
