epoch,loss
0,50.52
1,49.92
2,55.07
3,55.94
4,55.29
5,55.46
6,53.38
7,55.24
8,60.37
9,56.54
10,63.63
11,60.91
12,63.5
13,62.35
14,63.25
15,63.18
16,63.38
17,63.55
18,63.73
19,63.67
20,63.83
21,63.81
22,63.93
23,63.97
24,64.16
25,64.09
26,64.33
27,64.12
28,64.26
29,64.26
30,64.49
31,64.53
32,64.53
33,64.67
34,64.55
35,64.66
36,64.6
37,64.71
38,64.81
39,64.75
40,64.85
41,64.78
42,64.94
43,64.87
44,64.92
45,64.95
46,65.02
47,64.95
48,64.98
49,64.99
