epoch,loss
0,0.6911720752716064
1,0.6878885269165039
2,0.6841914176940918
3,0.6813606262207031
4,0.6795122146606445
5,0.6777830123901367
6,0.6759536743164063
7,0.6731346130371094
8,0.6680405616760254
9,0.6596240043640137
10,0.6523603439331055
11,0.6479989051818847
12,0.6448296070098877
13,0.6437105178833008
14,0.6419847488403321
15,0.64133620262146
16,0.6403577327728271
17,0.6396528720855713
18,0.6390942573547364
19,0.6385441303253174
20,0.638131046295166
21,0.6376679897308349
22,0.6373708248138428
23,0.6369454860687256
24,0.6366350650787354
25,0.6363958358764649
26,0.6360291481018067
27,0.6358611106872558
28,0.635508394241333
29,0.6353027820587158
30,0.6350587368011474
31,0.6348781585693359
32,0.6345515727996827
33,0.6344546318054199
34,0.6341652870178223
35,0.6339581966400146
36,0.6337897777557373
37,0.6335333824157715
38,0.6333466529846191
39,0.6331806659698487
40,0.6329770088195801
41,0.6328113555908204
42,0.6326459884643555
43,0.6324559211730957
44,0.6322878360748291
45,0.6321844100952149
46,0.6319734573364257
47,0.6319262504577636
48,0.6316854953765869
49,0.6316329002380371
