epoch,accuracy,num_predictions
0,51.22,18902
1,51.18,37411
2,50.85,57009
3,51.18,62535
4,51.11,71999
5,51.09,83667
6,50.94,96727
7,51.29,91188
8,51.33,99071
9,51.31,102470
10,51.36,105108
11,51.32,114922
12,51.77,106432
13,51.32,142319
14,51.61,133924
15,51.68,142056
16,52.09,137187
17,52.4,135746
18,52.64,134024
19,52.64,145608
20,52.66,152866
21,52.81,158796
22,53.24,154914
23,53.58,154482
24,53.85,156677
25,54.24,152979
26,54.35,155897
27,54.28,162606
28,54.53,160006
29,54.63,161843
