date,price,c_open,c_high,c_low,p_price,p_volume
2014-01-01,61.18,0.015854854527623363,0.015854854527623363,-0.0018045112781954753,,
2014-01-02,61.32,-0.0022831050228310223,0.00391389432485334,-0.005218525766470972,-0.0022831050228310223,0.5435743421432424
2014-01-05,61.8,-0.004045307443365731,0.005663430420711935,-0.004692556634304235,-0.007766990291262044,-0.49493601212910787
2014-01-06,62.48,-0.010883482714468595,0.0028809218950063276,-0.015364916773367376,-0.010883482714468595,0.1781940051528037
2014-01-07,63.06,-0.01173485569299082,0.0019029495718363432,-0.019663812242308953,-0.009197589597209066,-0.05263688455429627
2014-01-08,63.39,-0.00205079665562391,0.003942262186464651,-0.005994636377977591,-0.005205868433506788,0.005380269843435981
2014-01-09,64.36,-0.013362336855189505,0.009944064636420169,-0.013673088875077677,-0.015071472964574228,-0.12475562456389588
2014-01-12,63.31,0.014531669562470428,0.015953245932711857,-0.004422682040751913,0.01658505765281948,0.5124581137784012
2014-01-13,64.48,-0.0162841191066998,0.001240694789081953,-0.02295285359801491,-0.01814516129032262,-0.10697992098202658
2014-01-14,64.86,-0.007400555041628176,0.001927227875424098,-0.012488436632747457,-0.005858772741288876,-0.15884013302872058
2014-01-15,66.57,-0.02103049421661396,0.0006008712633318591,-0.03109508787742221,-0.0256872465074357,-0.47611790328930437
2014-01-16,67.13,-0.011321316847906937,0.008342022940563076,-0.014002681364516545,-0.008342022940563076,-0.22169446402865944
2014-01-20,68.12,-0.011450381679389277,0.0004403992953612157,-0.01893716970052861,-0.014533176746917342,0.21522522614622308
2014-01-21,68.03,0.0008819638394825802,0.007202704689107664,-0.009922093194179027,0.0013229457592238703,0.6420499006996221
2014-01-22,67.33,0.012921431754047363,0.012921431754047363,-0.008153869003415859,0.010396554284865633,0.05928666689464146
2014-01-23,65.36,0.02646878824969412,0.027692778457772294,-0.00015299877600982725,0.030140758873929085,-0.2848824896839476
2014-01-26,65.47,-0.00229112570643053,0.005498701695433095,-0.009683824652512607,-0.0016801588513822852,0.3768879245557468
2014-01-27,66.16,-0.008313180169286505,0.001662636033857412,-0.010580411124546552,-0.010429262394195837,-0.12869769712445667
2014-01-28,66.77,-0.012730268084468976,0.011232589486296352,-0.017223303878987406,-0.009135839448854322,-0.20168403381183153
2014-01-29,67.13,0.0002979293907345859,0.009384775808133572,-0.006703411291523742,-0.005362729033219105,0.7388677388824001
2014-01-30,68.49,-0.0332895313184407,0.0008760402978538195,-0.0332895313184407,-0.019856913418017208,-0.8294160114176721
2014-02-02,57.92,0.048169889502762464,0.048687845303867494,-0.0001726519337017507,0.1824930939226519,0.7151824420566277
2014-02-03,60.67,-0.04186583154771717,0.004615131036756148,-0.04433657491346632,-0.045327179825284336,0.2969912599630147
2014-02-04,59.37,0.004042445679636186,0.019875357924877823,-0.010274549435741909,0.021896580764696028,0.765818235404881
2014-02-05,59.0,0.0013559322033898091,0.006610169491525486,-0.007118644067796609,0.006271186440677923,0.1484334600522128
2014-02-06,59.08,0.004908598510494189,0.007955314827352788,-0.0023696682464454666,-0.0013540961408259333,-0.16216034538806
2014-02-09,58.85,0.0028887000849617817,0.007646559048428037,-0.010025488530161497,0.003908241291418868,0.6687029844572663
2014-02-10,59.29,-0.008264462809917439,0.0018552875695732052,-0.014623039298363949,-0.007421150278293043,-0.14975508494908718
2014-02-11,59.86,-0.008018710324089517,0.0006682258603407654,-0.008686936184430283,-0.00952221850985635,0.19073847011038803
2014-02-12,60.05,-0.009991673605328821,0.0038301415487094204,-0.012056619483763464,-0.0031640299750207435,0.07202784898015469
2014-02-13,59.96,0.00033355570380244615,0.003835890593729019,-0.006337558372248253,0.0015010006671114517,0.10627272105515129
2014-02-17,60.67,-0.007746827097412257,0.0016482610845558465,-0.010219218724246026,-0.011702653700346177,-0.27543507745510853
2014-02-18,60.85,-0.0059161873459325776,0.0146261298274446,-0.00632703368940013,-0.0029580936729662888,-0.20330627806531043
2014-02-19,60.98,-0.0022958346999014667,0.006149557231879266,-0.005329616267628623,-0.002131846507051449,0.3586787076244087
2014-02-20,60.71,0.007082852907263959,0.008730028001976642,-0.0016471750947125718,0.004447372755723933,-0.06778191497545893
2014-02-23,61.23,-0.0019598236158745452,0.008982524906091749,-0.015351951657684104,-0.00849256900212303,-0.22608585894669653
2014-02-24,58.81,0.00663152525080779,0.019690528821628916,-0.014283285155585856,0.041149464376806666,-0.4132243156026969
2014-02-25,59.04,0.008468834688346805,0.009823848238482258,-0.013380758807588045,-0.003895663956639539,-0.11971164373282417
2014-02-26,58.98,0.0022041369955918544,0.005595116988809767,-0.0050864699898269805,0.0010172939979653517,1.9126693294183301
2014-02-27,59.14,0.001521812647953924,0.00693270206290153,-0.006425431180250296,-0.002705444707473803,-0.2475439116778777
2014-03-02,58.87,-0.0047562425683709275,0.00492440971632413,-0.009512485136741855,0.004586376762357736,0.00019752360676750236
2014-03-03,59.68,-0.008042895442359144,0.002513404825737142,-0.008545576407506639,-0.013572386058981256,0.3721945425515578
2014-03-04,59.37,0.004379316152939294,0.0074111504126663785,-0.004733030149907336,0.005221492336196842,0.3450164920413925
2014-03-05,59.21,0.0032089174125990994,0.006080054044924843,-0.004053369363283266,0.002702246242188844,-0.2763911797117524
2014-03-06,58.96,0.0006784260515604323,0.007971506105834525,-0.003900949796472264,0.004240162822252369,0.023606184516222983
2014-03-09,58.78,0.003062266076896858,0.007315413405920346,-0.0031303164341613954,0.003062266076896858,0.49275699263180495
2014-03-10,58.15,0.009630266552020705,0.011177987962166736,-0.0017196904557179593,0.010834049871023321,-0.22783379435471873
2014-03-11,58.68,-0.012099522835719134,0.0018745739604635325,-0.01721199727334688,-0.009032038173142465,0.27040514754107203
2014-03-12,58.33,0.007371849819989729,0.007714726555803297,-0.003000171438367838,0.006000342876735898,-0.06469393602425444
2014-03-13,58.8,-0.006462585034013535,0.002891156462585087,-0.007482993197278853,-0.007993197278911568,-0.051427045743526856
2014-03-16,59.59,-0.01040443027353588,0.0033562678301728432,-0.016277898976338356,-0.013257257929182864,-0.0826857095160064
2014-03-17,60.23,-0.010127843267474623,0.0041507554374895506,-0.014444628922463898,-0.010625933919973352,0.02099039122483015
2014-03-18,59.5,0.012268907563025122,0.0131092436974789,-0.0028571428571428914,0.012268907563025122,0.2576243890194132
2014-03-19,59.41,-0.0028614711328058817,0.002524827470123059,-0.012792459181955818,0.001514896482073702,-0.16035030301020925
2014-03-20,59.43,0.007571933366986361,0.012115093387178089,-0.0018509170452633006,-0.000336530371866095,-0.6072350243488185
2014-03-23,58.54,0.01947386402459861,0.020669627605056418,-0.0037581141100102577,0.015203279808677861,0.8115518702683029
2014-03-24,58.4,0.007363013698630239,0.009589041095890538,-0.002054794520547909,0.002397260273972579,-0.04610426662166178
2014-03-25,57.78,0.010903426791277093,0.01678781585323641,-0.0003461405330564826,0.010730356524748963,-0.04540265686325651
2014-03-26,58.4,-0.009246575342465757,0.00136986301369868,-0.018835616438356184,-0.010616438356164326,0.12524138669263318
2014-03-27,58.49,0.0010258163788681163,0.004616173704906856,-0.010600102581638016,-0.0015387245683022854,0.12357566023022226
2014-03-30,59.25,-0.011308016877637161,0.0020253164556962577,-0.017213502109704626,-0.0128270042194093,-0.23362920136444687
2014-03-31,59.14,0.00490361853229615,0.007778153533987142,-0.009570510652688546,0.001859993236388302,0.20070276402069553
2014-04-01,59.87,-0.010689827960581266,0.0030065141139135054,-0.013612827793552662,-0.012193085017537908,0.024569184273454336
2014-04-02,59.63,0.007378836156297197,0.010229750125775539,-0.0020124098608084173,0.004024819721616613,0.19849175462572788
2014-04-03,59.77,0.0026769282248619852,0.012380793039986626,-0.0058557804918856204,-0.0023423121967541816,0.0077320669280467325
2014-04-06,58.48,0.020177838577291274,0.023255813953488413,-0.0006839945280437965,0.02205882352941191,0.09471401057415507
2014-04-07,58.75,-0.005617021276595691,0.006127659574468147,-0.010893617021276558,-0.00459574468085111,-0.3089013591175178
2014-04-08,59.56,-0.005708529214237812,8.394895903274247e-05,-0.012256548018804603,-0.013599731363331147,0.6869038675403718
2014-04-09,58.61,0.016891315475174862,0.021156799181027086,-0.0025592902235113124,0.016208838082238497,-0.40956160842611955
2014-04-10,58.51,-0.0005127328661767017,0.008545547769612138,-0.004785506750982771,0.0017091095539223389,0.09753428661463359
2014-04-13,58.92,-0.0022063815342837634,0.008825526137135054,-0.007976917854718213,-0.00695858791581816,0.4189518459859558
2014-04-14,59.41,-0.0082477697357346,0.0038714021208552385,-0.012455815519272773,-0.0082477697357346,-0.2509547931880093
2014-04-15,60.82,-0.004932587964485369,0.0004932587964485702,-0.018579414666228256,-0.023183163433081244,0.17791022383434374
2014-04-16,61.03,-0.003768638374569977,0.006718007537276582,-0.005898738325413766,-0.0034409306898246506,-0.19955661408400172
2014-04-20,61.7,-0.005834683954619169,0.00291734197730964,-0.007131280388979033,-0.01085899513776345,0.08620418811729591
2014-04-21,62.49,-0.011681869099055886,0.0030404864778363905,-0.01696271403424554,-0.012642022723635793,0.10891488636852253
2014-04-22,62.21,0.0032149172158815187,0.006269088570969306,-0.003054171355087565,0.004500884102234481,-0.11148086033471394
2014-04-23,62.2,0.0030546623794212024,0.010450160771704242,-0.0016881028938907638,0.0001607717041800516,-0.13513889041860716
2014-04-24,62.69,-0.008454298931249049,0.0011166055192215474,-0.01786568830754498,-0.007816238634550832,-0.0639342520159627
2014-04-27,62.42,-0.003204101249599578,0.0018423582185196352,-0.008170458186478768,0.0043255366869592304,0.027835290204990537
2014-04-28,62.8,-0.00398089171974525,0.006369426751592355,-0.004777070063694211,-0.006050955414012682,0.37845375258153613
2014-04-29,63.22,-0.007434356216387217,0.0022303068649160984,-0.007750711800063259,-0.006643467257197111,-0.32011569066040846
2014-04-30,63.29,-0.0007900142202559302,0.0071101279823038155,-0.005372096697740525,-0.0011060199083583466,0.4869920232282865
