epoch,accuracy,num_predictions
0,52.3,5897
1,51.37,51492
2,50.92,90778
3,51.53,76512
4,51.88,85650
5,52.01,86227
6,53.43,75363
7,53.73,79675
8,53.77,80607
9,55.09,70257
10,54.98,79114
11,54.68,88449
12,55.28,83578
13,55.38,87214
14,55.86,84804
15,55.39,93386
16,56.12,88364
17,56.54,82787
18,57.05,80116
19,57.35,82019
20,57.36,86618
21,57.41,89321
22,58.13,83653
23,58.04,85997
24,58.04,87995
25,58.01,89441
26,58.47,87201
27,58.51,85231
28,58.66,83792
29,58.47,86542
30,58.62,88045
31,57.63,98592
32,58.5,91650
33,59.41,82675
34,58.88,88497
35,58.79,89663
36,58.71,90517
37,58.91,89502
38,59.41,87817
39,59.54,87014
40,59.64,87004
41,59.26,91409
42,59.41,91217
43,59.89,85153
44,59.26,88737
45,58.64,94741
46,58.85,93559
47,59.38,90147
48,59.25,91393
49,59.93,87378
