epoch,accuracy,num_predictions
0,66.67,51
1,54.84,62
2,52.77,523
3,55.75,1288
4,54.65,2258
5,54.65,3440
6,54.65,4362
7,54.53,5131
8,54.15,6102
9,53.56,7416
10,53.96,7794
11,53.92,9788
12,54.44,13833
13,54.84,16890
14,54.94,20636
15,54.92,24175
16,54.88,26456
17,54.53,30455
18,54.43,31441
19,54.27,32538
20,54.19,33491
21,54.19,34365
22,54.28,34571
23,54.3,34640
24,54.24,35342
25,54.19,35764
26,54.25,35769
27,54.33,35584
28,54.28,36416
29,54.32,36544
30,54.48,36160
31,54.55,36271
32,54.55,36862
33,54.56,37607
34,54.67,37236
35,54.71,36898
36,54.69,37372
37,54.84,37042
38,54.86,37264
39,54.86,37610
40,54.92,37487
41,55.0,37727
42,55.04,37534
43,55.04,38041
44,55.14,37811
45,55.18,37822
46,55.21,37809
47,55.19,38091
48,55.35,37826
49,55.29,38171
