epoch,accuracy,num_predictions
0,53.15,6346
1,52.4,33625
2,52.93,34521
3,52.71,54201
4,54.01,46488
5,52.93,76613
6,52.82,91770
7,54.05,75489
8,54.91,75364
9,54.67,86603
10,55.97,70697
11,56.41,72743
12,55.8,87356
13,55.13,98203
14,54.94,103899
15,56.62,84230
16,57.58,79815
17,56.43,94440
18,58.8,72994
19,57.12,92892
20,58.16,83889
21,58.88,79019
22,57.86,89236
23,59.2,77758
24,58.72,83351
25,58.82,85939
26,58.5,88527
27,57.81,95155
28,59.44,81193
29,58.89,88154
30,58.59,93047
31,58.59,93941
32,59.5,84685
33,59.21,86419
34,60.15,82386
35,59.09,92386
36,60.09,84534
37,59.75,88170
38,60.73,81583
39,60.05,86420
40,60.26,85967
41,59.69,90534
42,59.58,91330
43,59.54,92629
44,60.02,90482
45,60.16,90790
46,60.69,86965
47,60.75,86857
48,60.06,90504
49,60.21,88295
