epoch,accuracy,num_predictions
0,57.38,25587
1,56.39,49661
2,57.35,49046
3,56.16,81186
4,58.5,85094
5,59.57,107387
6,60.18,108907
7,60.13,112891
8,59.8,119131
9,59.92,118075
10,59.74,121859
11,59.79,122246
12,59.74,123152
13,59.67,124388
14,59.61,125286
15,59.53,126375
16,59.73,125067
17,59.62,126895
18,59.54,128484
19,59.65,126619
20,59.71,126960
21,59.84,126154
22,59.58,129398
23,60.0,124675
24,59.84,127319
25,59.91,126239
26,59.95,126090
27,59.93,126807
28,59.75,129410
29,59.72,130996
30,59.72,130869
31,59.72,130461
32,59.67,131886
33,59.79,130296
34,59.69,131920
35,59.71,131902
36,59.79,130657
37,59.73,132204
38,59.73,132231
39,59.69,133305
40,59.73,132549
41,59.73,132954
42,59.75,132890
43,59.83,132624
44,59.7,134808
45,59.83,133438
46,59.87,133152
47,59.87,133319
48,59.9,132694
49,59.89,132590
