epoch,accuracy,num_predictions
0,57.99,51600
1,60.37,51035
2,62.87,67097
3,60.02,112074
4,59.85,127196
5,60.99,116862
6,60.25,129725
7,59.7,139981
8,61.76,116728
9,60.89,131673
10,63.18,108351
11,62.26,123341
12,63.28,115440
13,63.78,113512
14,63.87,115012
15,64.12,114694
16,64.35,115264
17,65.0,112369
18,65.32,113139
19,65.55,115284
20,65.26,120706
21,65.34,122543
22,65.06,128075
23,65.21,128333
24,65.64,127318
25,66.27,124623
26,67.13,118816
27,67.58,117127
28,66.75,126132
29,66.76,128451
30,66.66,130835
31,66.7,132289
32,66.9,132234
33,67.13,131708
34,67.48,129378
35,67.66,129415
36,67.49,130786
37,68.12,124958
38,67.88,129821
39,68.41,127971
40,68.17,132790
41,68.52,128756
42,69.03,126898
43,68.95,128955
44,68.55,133705
45,68.8,133190
46,69.2,130081
47,69.4,129305
48,69.49,129618
49,69.81,127127
