epoch,accuracy,num_predictions
0,52.51,179
1,52.66,771
2,55.17,1305
3,53.97,6148
4,52.63,14983
5,52.16,24591
6,51.85,32364
7,52.19,31345
8,51.8,42056
9,51.84,47084
10,52.14,44465
11,52.03,49093
12,52.17,49684
13,52.46,44727
14,52.18,53197
15,52.53,49390
16,52.44,52797
17,52.48,53412
18,52.63,52148
19,52.57,54258
20,52.79,52312
21,53.0,50520
22,53.07,51179
23,52.52,63177
24,52.65,62287
25,53.29,52443
26,52.95,60009
27,53.32,53989
28,53.41,56656
29,53.6,56220
30,53.77,54723
31,53.81,55517
32,53.88,58700
33,54.36,52495
34,54.45,52990
35,54.31,57204
36,54.49,55452
37,54.35,60234
38,54.38,61222
39,54.42,62216
40,54.04,69067
41,54.75,59829
42,54.73,62317
43,54.5,65698
44,54.89,61269
45,54.25,71729
46,54.88,63634
47,55.18,59851
48,54.97,64397
49,54.7,67643
