epoch,loss
0,0.6922801306488318
1,0.6919260987448036
2,0.6918176773491256
3,0.6917174453035407
4,0.6916346418748208
5,0.6915607277406465
6,0.6915022823788705
7,0.6914420871559633
8,0.6914125495000717
9,0.6913496244938002
10,0.6913104975989105
11,0.6912668910595255
12,0.6912269942257383
13,0.6911950767587084
14,0.6911539900193521
15,0.6911038040021144
16,0.6910639771627723
17,0.6910193207067087
18,0.6909808937562715
19,0.6909712345228283
20,0.6909227983667217
21,0.6908914408552538
22,0.6908631630993765
23,0.6908039477987027
24,0.690792118737457
25,0.6907401128646431
26,0.6906965763197033
27,0.6906661987304688
28,0.6906078233631379
29,0.6905707263071602
