epoch,accuracy,num_predictions
0,60.95,109064
1,62.7,139229
2,62.19,175150
3,62.79,174962
4,63.67,164791
5,66.34,135646
6,64.25,164244
7,66.25,141542
8,64.94,159824
9,65.7,151922
10,66.27,148945
11,66.13,152170
12,66.51,150876
13,67.2,145073
14,67.49,144789
15,67.27,148894
16,67.65,147517
17,68.03,145280
18,68.14,145923
19,68.24,146447
20,68.56,145025
21,68.27,149359
22,69.07,143063
23,69.09,144315
24,69.71,140597
25,69.32,145907
26,69.59,145290
27,70.15,141794
28,69.97,146367
29,70.11,146677
30,70.49,144619
31,70.7,143319
32,70.86,143637
33,70.9,145017
34,71.05,145587
35,70.88,148466
36,70.07,157108
37,69.88,160211
38,69.82,162057
39,70.16,160840
40,70.2,160951
41,70.16,162745
42,70.13,164157
43,70.06,165683
44,70.02,166945
45,70.35,164985
46,70.33,166111
47,70.51,165574
48,70.51,166025
49,70.23,168707
