epoch,accuracy,num_predictions
0,60.37,110898
1,60.47,158887
2,65.75,129847
3,63.85,155557
4,64.56,152047
5,65.44,143346
6,64.04,162512
7,64.68,158205
8,64.38,163755
9,64.42,164685
10,66.46,143118
11,65.45,156566
12,67.41,136009
13,66.74,145424
14,67.29,140409
15,66.83,148796
16,67.48,143579
17,66.86,151242
18,66.33,157600
19,67.52,146909
20,67.63,147676
21,67.84,147691
22,68.0,147823
23,67.87,150498
24,67.99,151469
25,68.5,148472
26,69.14,143602
27,69.2,144911
28,68.86,149704
29,69.52,144915
30,69.69,145486
31,69.88,144900
32,69.84,146430
33,69.75,149373
34,69.09,157278
35,68.93,159643
36,68.76,162873
37,69.15,160270
38,68.99,162524
39,68.8,165405
40,68.88,165492
41,68.82,167056
42,69.49,162040
43,69.75,160393
44,71.42,143116
45,69.09,165407
46,69.86,161847
47,70.73,155410
48,70.4,159237
49,70.51,159646
