date,pricec_open,c_high,c_low,p_price,p_volume,p_5_SMA,vol_5_SMA,p_10_SMA,vol_10_SMA,p_20_SMA,vol_20_SMA,p_30_SMA,vol_30_SMA
2017-04-05,23.08,-0.03379549393414205,0.0008665511265166792,-0.051343154246100475,,,,,,,,,,
2017-04-06,23.27,-0.0008594757198109315,0.014611087236785503,-0.02578427159432739,-0.008165019338203794,0.1376334037874758,,,,,,,,
2017-04-09,23.27,0.0012892135797164528,0.05629565964761496,0.0,0.0,-0.09062517494630196,,,,,,,,
2017-04-10,23.18,0.0038826574633303856,0.010353753235547991,-0.009922346850733454,0.0038826574633303856,1.1421790309222555,,,,,,,,
2017-04-11,22.42,0.037912578055307566,0.041480820695807274,-0.003568242640499597,0.03389830508474567,0.0019533616923383956,,,,,,,,
2017-04-12,22.04,0.008166969147005432,0.020871143375680523,-0.0009074410163338875,0.017241379310344973,0.12296617167425539,0.04555353901996351,0.8687626573665297,,,,,,
2017-04-16,22.08,-0.0018115942028985588,0.0040760869565219515,-0.005887681159420288,-0.0018115942028985588,0.2387993810889235,0.03423913043478244,0.9449843486360954,,,,,,
2017-04-17,22.5,-0.01955555555555566,0.0004444444444444695,-0.021333333333333315,-0.01866666666666672,-0.15979862218973162,0.004355555555555446,0.3459432142424146,,,,,,
2017-04-18,22.73,-0.007919049714034343,0.007919049714034232,-0.008139023317201843,-0.010118785745710568,1.0143411555620037,-0.01258249010118806,1.1033685152273525,,,,,,
2017-04-19,23.3,-0.015450643776824036,0.0025751072961373023,-0.021888412017167402,-0.024463519313304705,-0.4843412762636017,-0.04060085836909877,-0.055537753128689915,,,,,,
2017-04-20,23.69,-0.014774166314900916,0.003799071338117299,-0.016884761502743872,-0.016462642465175148,-0.1888863043346346,-0.04896580835795705,-0.2686619874997471,-0.03811734909244413,0.1850495560185279,,,,
