epoch,accuracy,num_predictions
0,56.18,15564
1,54.32,33063
2,56.81,31395
3,56.27,40015
4,55.3,57469
5,55.17,65068
6,55.54,66998
7,55.56,73540
8,55.93,73829
9,55.76,77518
10,56.79,74588
11,57.35,74939
12,57.61,76922
13,58.3,75394
14,58.85,75262
15,59.04,76756
16,59.51,76818
17,60.21,75325
18,60.46,75033
19,61.01,73192
20,60.85,75796
21,60.63,79340
22,60.2,82773
23,60.39,82831
24,60.87,81616
25,60.92,82371
26,61.14,82612
27,61.77,80340
28,62.34,78425
29,62.51,77538
30,62.59,77219
31,62.42,80596
32,62.48,81578
33,63.41,77692
34,63.33,79065
35,63.27,80597
36,63.53,80068
37,63.52,80703
38,63.51,81003
39,64.1,78666
40,64.27,78412
41,64.31,78577
42,64.17,79291
43,63.72,81748
44,62.8,87104
45,61.85,91206
46,62.15,89766
47,63.48,83365
48,64.81,78252
49,65.87,74205
