epoch,accuracy,num_predictions
0,54.67,2643
1,54.97,5858
2,51.93,19164
3,52.28,20965
4,52.66,25310
5,52.9,26665
6,53.03,33800
7,53.17,38782
8,54.47,33735
9,54.01,45208
10,55.69,40335
11,55.66,50937
12,55.43,59761
13,56.61,53125
14,55.45,77009
15,55.67,78243
16,55.59,91796
17,56.14,91935
18,56.67,96948
19,56.55,107699
20,55.67,128994
21,55.71,136036
22,55.46,145276
23,56.55,131926
24,56.37,137774
