epoch,accuracy,num_predictions
0,58.33,2702
1,55.7,17131
2,54.41,27450
3,54.62,34314
4,54.74,47234
5,55.42,50721
6,54.55,61628
7,55.15,60453
8,58.38,31043
9,55.66,60749
10,57.05,49805
11,57.44,49972
12,57.83,48745
13,58.42,45268
14,57.44,54900
15,57.52,57219
16,58.06,55617
17,58.34,55139
18,58.85,53817
19,58.91,55786
20,59.05,57968
21,59.39,58019
22,59.81,56973
23,60.17,57196
24,60.2,60177
25,60.53,60081
26,61.03,59213
27,61.06,60791
28,61.1,62404
29,61.14,64207
30,61.08,66870
31,61.11,68104
32,60.82,72139
33,60.43,75997
34,60.42,76716
35,60.78,75493
36,61.22,73794
37,61.74,71985
38,62.36,70428
39,62.88,68649
40,63.45,67069
41,63.97,65482
42,63.76,66727
43,63.75,67041
44,63.63,68764
45,63.74,68734
46,63.94,68438
47,63.95,68873
48,64.09,67891
49,64.12,68012
