epoch,accuracy,num_predictions
0,53.56,232020
1,57.18,98520
2,54.46,283600
3,54.67,284942
4,54.48,314579
5,54.92,311520
6,55.61,301030
7,56.35,298671
8,56.91,294280
9,57.1,305968
10,57.68,303100
11,57.9,314459
12,58.72,306949
13,59.49,298770
14,59.95,299340
15,60.64,293482
16,61.62,281399
17,63.97,226586
18,64.29,235340
19,63.79,251447
20,62.96,271318
21,62.04,287564
22,62.49,293255
23,63.45,280042
24,63.76,274179
