epoch,accuracy,num_predictions
0,49.59,738
1,52.07,1519
2,50.89,5142
3,52.19,6521
4,53.81,5304
5,53.01,10504
6,52.81,13749
7,51.44,32665
8,52.15,27103
9,51.83,35272
10,52.02,35557
11,52.51,33787
12,52.0,44673
13,51.98,50904
14,52.01,50063
15,52.22,49611
16,52.88,42252
17,52.69,45522
18,52.58,50862
19,52.51,55206
20,52.77,53913
21,52.52,61604
22,53.05,55776
23,53.09,55910
24,53.0,59910
25,52.94,64093
26,53.05,65000
27,53.52,60683
28,53.76,58854
29,53.56,62479
30,53.89,62493
31,53.71,65403
32,54.29,58271
33,53.81,68046
34,54.17,63062
35,54.37,62313
36,54.44,63694
37,54.72,59801
38,54.38,66107
39,54.66,63855
40,55.06,59927
41,54.6,67185
42,55.42,58130
43,55.04,63709
44,55.06,64113
45,54.79,68484
46,55.05,66249
47,55.38,62515
48,55.3,63180
49,54.69,73713
