epoch,accuracy,num_predictions
0,60.98,76478
1,51.73,462221
2,57.09,305182
3,57.06,299761
4,58.33,257411
5,60.0,203204
6,58.5,268759
7,59.8,228666
8,59.66,237786
9,58.54,290389
10,58.3,304550
11,62.61,151942
12,64.13,142420
13,59.13,287434
14,60.07,267948
15,59.26,302844
16,62.24,223064
17,62.07,237901
18,61.72,255853
19,61.41,272522
20,64.05,214782
21,62.64,252827
22,62.57,265952
23,63.56,251789
24,63.72,244077
