epoch,accuracy,num_predictions
0,62.96,467
1,59.8,1505
2,56.86,6155
3,56.66,9597
4,56.49,11913
5,56.77,13612
6,57.09,15271
7,57.5,15817
8,57.22,19559
9,57.5,24366
10,55.38,44080
11,55.81,44309
12,56.7,39991
13,57.3,36109
14,56.92,41342
15,57.12,40828
16,57.16,41073
17,57.19,41001
18,57.25,40870
19,57.2,41518
20,57.04,43769
21,57.08,43324
22,56.55,48867
23,56.01,53217
24,55.99,53577
25,55.79,55234
26,56.03,54166
27,55.97,54684
28,55.9,55297
29,55.94,55128
30,55.99,55068
31,55.82,56260
32,56.01,55241
33,56.11,55043
34,56.01,55714
35,55.95,56314
36,56.08,56184
37,56.18,56081
38,56.26,55407
39,56.11,57175
40,56.1,57448
41,56.18,57179
42,56.36,56121
43,56.21,57620
44,56.41,56782
45,56.4,57679
46,56.46,57544
47,56.41,58181
48,56.58,57552
49,56.53,58281
