date,c_open,c_high,c_low,p_price,p_volume,p_5_SMA,vol_5_SMA,p_10_SMA,vol_10_SMA,p_20_SMA,vol_20_SMA,p_30_SMA,vol_30_SMA
2021-01-03,0.01690948797751357,0.01690948797751357,-0.010635429843970035,,,,,,,,,,
2021-01-04,0.017478822817172945,0.017478822817172945,-0.008580513019339486,-0.003918434278831762,-0.11840720585077757,,,,,,,,
2021-01-05,-0.03720372037203701,0.009300930093009363,-0.046905190519051954,-0.05590609060906082,-0.413242479646187,,,,,,,,
2021-01-06,-0.0029489826010025144,0.011992037746977546,-0.009043055145974588,-0.01710409908581534,0.43793744709259474,,,,,,,,
2021-01-07,-0.0008823529411765563,0.004705882352941115,-0.014705882352941124,-0.002647058823529558,0.4754133792661961,,,,,,,,
2021-01-10,-0.021584561796806567,0.005905045932168118,-0.026908831143563683,-0.012679804800989625,-0.1957618741167807,-0.04723601163295499,0.11616047556177711,,,,,,
2021-01-11,-0.001256157635467936,0.01593740944653743,-0.0019313242538393505,-0.002125470878006297,-0.33951747401705645,-0.03133410605621556,-0.24728768655179456,,,,,,
2021-01-12,0.010600706713780994,0.014771790341578273,-0.010110424028268561,0.016195524146054074,0.4763366818306498,0.002277090694935202,0.21128190000051772,,,,,,
2021-01-13,-0.004089579313739433,0.0050623149647930354,-0.00730282020310602,-0.0079849036100762,-0.36072720956489013,-0.0020453738824859347,-0.31052245441499415,,,,,,
2021-01-14,-0.008063916813718208,0.007868657534166879,-0.013697292744660583,-0.0023314540841975484,0.8636489756909653,-0.0024873700760782436,0.38198110153684883,,,,,,
2021-01-18,-0.005296071634893096,0.006257943385326481,-0.009998555748122362,-0.008857596764875741,-0.12043408170487158,-0.009512709416522158,0.2271027188407133,-0.030897313691507833,0.18379718448879223,,,,
2021-01-19,0.0004827017381610066,0.006183800645631843,-0.007344894015802961,0.0036717222305169273,0.1479986676462164,-0.004812811744872358,0.40370724327285856,-0.017839670545191977,0.3702660971995666,,,,
2021-01-20,0.009649122807017463,0.015156432748538062,-0.0019488304093567832,0.008577485380116823,0.27027235430774543,0.003626023391812838,0.5859415748109336,-0.0005652046783626297,0.7184617665958184,,,,
2021-01-21,-0.0068605415226669075,0.0020580154556961716,-0.007644057406871241,0.005487551211509567,-0.24376426048809374,0.01054468319057067,0.11946932294267687,0.007477064152751511,0.18292120585042593,,,,
