epoch,accuracy,num_predictions
0,46.57,3809
1,50.0,12
2,0.0,0.0
3,0.0,2
4,44.44,72
5,50.88,342
6,50.93,1080
7,51.72,2007
8,51.69,2724
9,52.26,3169
10,52.39,3688
11,53.3,4420
12,54.09,4766
13,54.67,4913
14,54.0,8297
15,53.83,11513
16,53.96,15116
17,53.68,19561
18,53.66,20099
19,53.76,20739
20,53.82,24489
21,54.0,23487
22,53.91,21939
23,53.99,24961
24,53.94,24895
25,54.08,24040
26,54.0,25283
27,53.99,26087
28,54.05,24714
29,54.17,25236
30,53.94,26921
31,54.11,25495
32,54.13,25716
33,54.04,26871
34,54.12,26347
35,54.14,26171
36,54.15,26584
37,54.13,26343
38,54.14,26654
39,54.15,27348
40,54.15,26886
41,54.18,26513
42,54.19,27051
43,54.2,27561
44,54.23,27056
45,54.22,27405
46,54.28,27736
47,54.29,27243
48,54.34,27263
49,54.43,27640
