epoch,loss
0,0.6814598920868664
1,0.6716148562547637
2,0.665490638918993
3,0.6620983495944883
4,0.6645233805586652
5,0.6611767280392531
6,0.6602573394775391
7,0.6607231512302305
8,0.657888552037681
9,0.6567313031452459
10,0.6543627017881812
11,0.6529052548292207
12,0.6507715829988805
13,0.6486575894239472
14,0.6465198237721513
15,0.6442564522347799
16,0.6419916385557594
17,0.6396469023169541
18,0.6373102141589653
19,0.6350954102306832
20,0.6330102594887338
21,0.6310420617824648
22,0.6294457040181974
23,0.6279524361214986
24,0.627057424405726
