epoch,accuracy,num_predictions
0,56.72,67
1,50.81,12487
2,52.54,2672
3,53.87,1394
4,52.19,5560
5,52.24,6732
6,52.05,11771
7,52.19,16954
8,52.11,23528
9,51.91,29711
10,51.83,36292
11,51.78,42390
12,51.54,49291
13,51.48,54740
14,51.41,60114
15,51.23,65404
16,51.18,69167
17,51.13,72723
18,51.14,75833
19,51.24,78086
20,51.26,79428
21,51.29,81224
22,51.35,82489
23,51.45,83252
24,51.55,83475
25,51.62,83809
26,51.71,84488
27,51.77,84641
28,51.73,85247
29,51.75,86752
30,51.77,87789
31,51.81,88694
32,51.83,90006
33,51.9,90450
34,51.9,91609
35,51.97,92049
36,52.05,92752
37,52.05,93321
38,52.12,93378
39,52.25,92359
40,52.39,91249
41,52.58,88966
42,52.81,86036
43,53.11,82781
44,53.35,79222
45,53.64,75682
46,53.92,71414
47,54.13,69163
48,54.25,69282
49,54.19,70213
