epoch,accuracy,num_predictions
0,55.83,141590
1,57.94,136227
2,58.81,132271
3,61.05,119604
4,65.24,104686
5,64.79,131797
6,64.45,142491
7,64.53,144331
8,64.47,146791
9,64.28,149640
10,64.31,150814
11,64.46,149815
12,64.56,149688
13,64.61,149845
14,64.75,149222
15,64.9,148284
16,64.82,149754
17,64.91,149348
18,65.01,149221
19,65.0,149876
20,64.92,151015
21,65.12,148325
22,65.19,148536
23,64.96,151986
24,65.02,152023
25,65.02,152239
26,65.04,152289
27,65.08,152110
28,65.23,150812
29,65.14,152734
30,65.04,153942
31,65.15,153064
32,65.14,153718
33,65.24,152845
34,65.12,154442
35,65.17,153885
36,64.98,156331
37,65.03,155856
38,65.29,153003
39,65.06,156227
40,65.22,154368
41,65.22,154640
42,64.99,157639
43,64.97,157698
44,65.16,156442
45,65.44,152902
46,65.21,156289
47,65.28,155504
48,65.23,156275
49,65.39,154963
