epoch,accuracy,num_predictions
0,52.81,8955
1,51.75,32203
2,51.57,48221
3,51.27,65424
4,51.29,69504
5,51.29,74802
6,51.41,83090
7,51.46,88251
8,51.58,94061
9,51.7,101624
10,51.72,106941
11,51.73,111767
12,51.75,117724
13,51.79,118555
14,51.8,118194
15,51.83,121428
16,52.0,122545
17,51.99,126954
18,52.01,133021
19,51.94,140746
20,52.02,146794
21,52.14,150763
22,52.28,152456
23,52.4,157639
24,52.48,160846
25,52.69,157055
26,52.67,168802
27,52.73,171439
28,52.62,184561
29,52.74,186365
