epoch,accuracy,num_predictions
0,16.67,6
1,54.21,3162
2,54.13,6193
3,53.51,9127
4,53.48,12518
5,52.72,18640
6,52.76,30593
7,52.17,53011
8,52.5,83615
9,52.92,103468
10,53.11,137225
11,53.39,166496
12,53.7,183432
13,53.66,207020
14,53.56,236093
15,54.28,227493
16,54.87,234245
17,55.98,212656
18,55.93,223391
19,55.48,246975
20,55.96,228400
21,57.25,197223
22,55.57,266116
23,55.03,297681
24,55.01,299874
