epoch,accuracy,num_predictions
0,51.9,2231
1,52.81,8407
2,51.47,22173
3,56.37,9921
4,54.29,26176
5,56.08,18045
6,55.26,27578
7,55.48,32562
8,56.81,31588
9,57.21,37131
10,57.71,37251
11,58.39,41708
12,57.9,50702
13,57.92,54474
14,58.36,55594
15,58.56,57818
16,59.0,59102
17,59.05,61323
18,59.44,62452
19,59.72,63773
20,60.3,63655
21,60.59,64639
22,60.82,65638
23,60.83,67179
24,61.03,67785
25,61.56,67253
26,62.5,63432
27,64.79,53489
28,65.31,53495
29,65.04,56152
30,65.14,56675
31,65.18,57273
32,64.74,59424
33,65.21,59762
34,65.79,58708
35,66.24,57821
36,66.19,58373
37,66.04,59273
38,65.78,61161
39,65.43,62988
40,66.32,60523
41,66.71,58188
42,66.46,58531
43,65.91,61484
44,65.84,62630
45,66.07,62926
46,66.34,62565
47,66.45,62651
48,66.5,62792
49,66.52,62956
