epoch,accuracy,num_predictions
0,45.94,7792
1,90.91,11
2,64.0,25
3,54.26,376
4,54.85,1123
5,55.42,1494
6,54.85,1980
7,55.61,2708
8,54.74,3537
9,55.25,4257
10,55.61,5103
11,55.12,6107
12,54.32,8059
13,54.5,8682
14,54.49,9645
15,53.65,12469
16,53.57,16595
17,53.88,17778
18,54.09,16536
19,54.31,15769
20,54.22,16925
21,54.13,18792
22,54.13,20600
23,54.23,21542
24,54.15,21457
25,54.2,20744
26,54.23,21030
27,54.29,22186
28,54.38,22758
29,54.39,23388
30,54.41,23663
31,54.43,23982
32,54.52,24314
33,54.59,24629
34,54.69,24949
35,54.77,24865
36,54.8,24901
37,54.79,24996
38,54.89,25097
39,54.9,25417
40,54.84,25646
41,54.84,25699
42,54.91,25778
43,54.93,25649
44,54.88,26010
45,54.95,25923
46,54.95,25971
47,54.94,26228
48,55.0,26359
49,55.06,26326
