epoch,accuracy,num_predictions
0,53.28,931
1,53.14,3993
2,52.59,26065
3,52.17,41549
4,52.14,54293
5,52.82,51930
6,53.15,58145
7,51.89,92006
8,54.6,47104
9,53.21,75165
10,53.59,75569
11,54.98,65642
12,55.45,66873
13,55.47,71618
14,55.53,73682
15,55.61,76259
16,55.55,80359
17,55.78,81217
18,57.35,69884
19,57.53,72742
20,58.18,69553
21,58.5,69090
22,58.99,66641
23,59.05,69499
24,59.63,68372
25,59.89,65724
26,59.0,74796
27,58.58,80521
28,58.51,83149
29,59.17,80199
30,60.41,71643
31,60.83,68562
32,61.04,68974
33,60.45,75191
34,60.28,77778
35,60.28,78060
36,60.41,77384
37,60.4,77798
38,60.71,76932
39,60.97,76496
40,61.35,73239
41,61.18,74047
42,60.74,77445
43,60.38,82598
44,60.39,81325
45,60.2,85032
46,60.17,82300
47,60.62,76896
48,61.27,77860
49,61.4,79124
