epoch,accuracy,num_predictions
0,51.87,8093
1,52.25,15513
2,52.12,23619
3,52.22,32140
4,51.85,42833
5,51.82,45684
6,51.54,52811
7,51.54,59300
8,51.48,63349
9,51.43,67491
10,51.38,70587
11,51.43,74122
12,51.49,76936
13,51.59,77329
14,51.54,82756
15,51.61,85655
16,51.64,90082
17,51.77,89998
18,51.74,93066
19,51.74,95486
20,51.71,98161
21,51.8,95305
22,51.84,98214
23,51.93,101029
24,52.11,101828
25,52.23,102529
26,52.23,106821
27,52.46,103343
28,52.38,109832
29,52.46,111670
