epoch,accuracy,num_predictions
0,59.19,27722
1,57.32,87449
2,58.58,115235
3,55.48,176510
4,57.72,151537
5,63.38,82733
6,60.91,118025
7,60.37,127719
8,61.25,120653
9,60.89,128731
10,61.41,126138
11,62.01,121224
12,62.24,123032
13,62.41,123066
14,63.15,116142
15,62.51,127315
16,63.0,126629
17,63.12,127271
18,63.71,125559
19,63.76,127254
20,64.53,123279
21,64.16,128284
22,64.88,124789
23,64.38,131849
24,64.74,130329
25,64.95,130670
26,65.01,131271
27,64.93,133508
28,65.27,133088
29,65.61,133487
30,66.06,131578
31,66.41,130591
32,66.28,133135
33,66.39,134277
34,66.55,134697
35,66.18,139231
36,66.65,136208
37,66.25,140708
38,68.1,127573
39,67.94,130106
40,67.79,132628
41,67.53,135294
42,67.52,137186
43,67.9,134716
44,69.1,125766
45,68.81,128641
46,67.75,137461
47,68.32,134249
48,68.5,134066
49,68.44,135064
