epoch,loss
0,0.6852118695368532
1,0.672247652147637
2,0.6685150021412334
3,0.6672909846071338
4,0.666723220074763
5,0.6657681699659004
6,0.6645780469550461
7,0.6629032697833952
8,0.6608121277856045
9,0.6585249978987897
10,0.6560439438116356
11,0.6536450620557441
12,0.6513670624279585
13,0.6496099878530033
14,0.6477934415223169
15,0.6458677072994045
16,0.6438085837442367
17,0.6417842302166048
18,0.6408888394715356
19,0.6391335159051613
20,0.6377493436219263
21,0.6364519713354893
22,0.6355845967277152
23,0.6335306636622695
24,0.6317880974441278
