epoch,accuracy,num_predictions
0,58.11,1177
1,59.67,1143
2,57.63,5060
3,56.41,9006
4,56.11,11343
5,56.18,13873
6,56.38,15498
7,56.58,16505
8,56.88,17517
9,56.75,19278
10,56.75,20565
11,56.88,18876
12,56.72,22551
13,57.04,23939
14,55.98,36691
15,56.21,35292
16,55.97,37260
17,55.94,38794
18,55.77,41139
19,55.99,39942
20,55.99,40937
21,56.05,41571
22,56.03,42898
23,55.89,44360
24,56.04,43471
25,56.05,44505
26,55.91,46676
27,55.83,48536
28,55.73,51963
29,55.4,56181
30,55.51,55995
31,55.61,55352
32,55.62,55962
33,55.53,57218
34,55.83,55072
35,55.7,56742
36,55.81,56308
37,55.69,57492
38,55.77,57021
39,55.68,58117
40,55.78,57152
41,55.82,56442
42,55.77,57958
43,55.88,57380
44,55.86,58525
45,55.85,59187
46,56.02,58480
47,56.02,58827
48,56.22,57183
49,56.15,58205
