epoch,accuracy,num_predictions
0,52.98,130171
1,55.21,162129
2,55.56,218629
3,55.92,217260
4,56.03,230584
5,56.29,248712
6,56.52,274705
7,58.35,234033
8,59.19,231058
9,59.93,230590
10,60.79,229215
11,61.85,218755
