epoch,accuracy,num_predictions
0,63.42,103057
1,64.77,139672
2,66.85,125630
3,64.09,164402
4,64.27,165813
5,64.82,163185
6,65.15,163382
7,65.07,168429
8,65.25,168345
9,65.27,170902
10,65.29,174959
11,66.5,165988
12,65.59,178869
13,66.24,175947
14,66.49,175974
15,65.79,184842
16,66.33,182020
17,68.71,162808
18,68.82,163972
19,68.7,167448
20,68.08,175080
21,69.1,168882
22,69.11,169246
23,69.04,171307
24,68.88,174842
25,70.16,165961
26,70.36,165193
27,69.9,170298
28,69.07,176609
29,70.45,167323
30,70.67,164980
31,70.47,168418
32,70.08,172916
33,70.02,174146
34,70.76,165404
35,71.45,159813
36,71.56,163600
37,71.88,161080
38,71.84,162117
39,71.97,162364
40,71.94,163538
41,71.96,163725
42,72.05,163715
43,72.17,162502
44,72.12,163179
45,72.6,159284
46,73.02,156516
47,71.17,173402
48,71.55,171681
49,71.23,174541
