epoch,accuracy,num_predictions
0,49.68,10467
1,58.54,1886
2,58.26,3337
3,56.05,7643
4,55.99,9023
5,56.1,9550
6,56.26,10700
7,56.23,11546
8,56.3,12054
9,56.55,13857
10,56.98,15278
11,55.78,21411
12,55.93,23798
13,55.18,30625
14,54.64,39583
15,54.07,46746
16,54.14,49501
17,54.26,52892
18,54.05,57722
19,54.83,53398
20,55.16,51237
21,54.59,58812
22,54.24,62199
23,54.59,58994
24,54.75,58400
25,54.65,60277
26,54.92,57855
27,54.9,58755
28,54.9,59776
29,54.84,60467
30,54.97,60098
31,55.05,59385
32,54.92,61344
33,54.96,61046
34,55.13,59631
35,55.12,60203
36,55.0,62999
37,55.11,62227
38,55.07,63556
39,55.23,62318
40,55.38,60592
41,55.09,63721
42,55.27,62829
43,55.28,63099
44,55.25,63525
45,55.29,63377
46,55.43,62255
47,55.35,63964
48,55.41,63376
49,55.44,63260
