epoch,accuracy,num_predictions
0,51.98,8020
1,51.4,19443
2,51.36,27336
3,51.69,35732
4,51.87,40926
5,51.85,51484
6,51.88,58405
7,52.03,64269
8,52.01,72665
9,52.01,79330
10,52.11,79871
11,52.14,85544
12,52.18,85815
13,52.14,89682
14,52.24,86639
15,52.32,91582
16,52.37,92321
17,52.53,89881
18,52.75,85149
19,52.77,86661
20,52.78,89176
21,52.92,88452
22,52.98,87930
23,53.01,90703
24,52.99,92753
25,53.0,92742
26,52.99,95513
27,53.03,97679
28,52.97,100689
29,53.06,100916
