epoch,accuracy,num_predictions
0,49.61,2334
1,54.37,103
2,54.01,1248
3,53.62,2171
4,54.06,2930
5,54.09,3365
6,54.63,3723
7,54.42,4348
8,53.88,5902
9,54.41,7760
10,53.44,11466
11,53.2,12542
12,53.29,15939
13,53.23,25525
14,53.23,30350
15,53.65,27159
16,53.53,30351
17,53.57,30857
18,53.78,29503
19,53.71,30318
20,53.76,30722
21,53.76,31788
22,53.79,31034
23,53.81,31702
24,53.93,31733
25,54.02,31372
26,54.11,31804
27,54.21,31295
28,54.2,32294
29,54.17,31838
30,54.33,31628
31,54.34,32106
32,54.45,32668
33,54.55,32213
34,54.63,31943
35,54.68,32409
36,54.6,32981
37,54.73,32630
38,54.79,32651
39,54.77,33433
40,54.98,31996
41,55.12,32169
42,55.16,32689
43,55.22,32436
44,55.38,32509
45,55.38,33361
46,55.46,33425
47,55.54,33912
48,55.63,33931
49,55.61,34199
