epoch,accuracy,num_predictions
0,63.74,93403
1,62.79,167954
2,64.57,153327
3,64.81,157487
4,66.24,145701
5,64.96,163386
6,66.63,147570
7,66.25,156453
8,67.32,149411
9,66.97,156726
10,67.39,156187
11,68.16,151076
12,69.47,141931
13,68.63,153403
14,68.86,154087
15,69.04,154953
16,69.24,155748
17,69.76,153561
18,70.11,152847
19,70.22,153985
20,70.39,155674
21,70.58,155663
22,70.8,155576
23,70.98,156425
24,71.27,154747
25,71.1,157932
26,71.59,154949
27,72.02,152779
28,72.27,151435
29,72.33,152691
30,72.47,153653
31,72.55,153744
32,72.68,153641
33,72.74,153335
34,72.78,154005
35,72.89,153789
36,72.76,155468
37,72.95,154749
38,73.02,154725
39,72.99,156047
40,72.78,158590
41,71.97,165347
42,71.38,171040
43,72.11,165801
44,72.68,161325
45,73.01,159424
46,73.93,149788
47,73.63,152824
48,73.46,156041
49,73.02,159623
