date,open_price,close_price,lowest_price,highest_price,volume,SMA_P5,SMA_P10,SMA_P20,SMA_P30,PDC_P1
2014-01-01,110.36,109.74,109.29,111.88,542841.0,,,,,
2014-01-02,111.23,112.88,110.58,114.33,987918.0,,,,,0.028613085474758604
2014-01-05,113.1,111.8,111.44,113.91,1030350.0,,,,,-0.009567682494684648
2014-01-06,111.98,113.18,111.63,113.4,922930.0,,,,,0.012343470483005436
2014-01-07,112.47,112.3,111.91,113.615,777377.0,111.97999999999999,,,,-0.007775225304824218
2014-01-08,113.06,113.55,112.71,114.22,487011.0,112.742,,,,0.011130899376669667
2014-01-09,114.28,115.64,113.64,115.797,678680.0,113.29400000000001,,,,0.018405988551299046
2014-01-12,115.45,114.29,113.77,115.99,941851.0,113.792,,,,-0.011674161189899612
2014-01-13,115.4,117.6,113.82,117.99,819642.0,114.676,,,,0.028961413946976933
2014-01-14,117.65,117.47,116.71,119.54,978839.0,115.71,113.845,,,-0.0011054421768706968
2014-01-15,117.22,117.88,116.15,118.25,610014.0,116.576,114.65899999999999,,,0.0034902528305098546
2014-01-16,117.81,118.44,117.085,119.02,692424.0,117.13600000000001,115.215,,,0.004750593824228044
2014-01-20,119.73,118.0,117.96,120.31,821610.0,117.878,115.835,,,-0.0037149611617696143
2014-01-21,118.39,117.75,116.746,118.7099,502038.0,117.90799999999999,116.292,,,-0.0021186440677966045
2014-01-22,116.81,116.33,115.29,117.53,659229.0,117.67999999999999,116.69499999999998,,,-0.012059447983014837
2014-01-23,116.0,115.98,115.47,117.01,782286.0,117.3,116.93799999999999,,,-0.003008682197197632
2014-01-26,116.485,115.4,113.8,117.2,974499.0,116.69200000000001,116.91400000000002,,,-0.005000862217623747
2014-01-27,115.39,116.25,115.22,117.66,918945.0,116.34200000000001,117.10999999999999,,,0.007365684575389997
2014-01-28,115.41,113.9,113.79,116.61,643995.0,115.572,116.74000000000001,,,-0.020215053763440793
2014-01-29,115.0,115.2,114.45,115.89,585895.0,115.346,116.51299999999999,115.179,,0.011413520632133523
2014-01-30,115.23,114.81,113.7,116.03,807532.0,115.11200000000001,116.20600000000002,115.4325,,-0.0033854166666666963
2014-02-02,115.44,110.22,109.58,115.648,1327838.0,114.076,115.38399999999999,115.29950000000001,,-0.03997909589756987
2014-02-03,110.97,110.25,110.1,112.11,1086059.0,112.876,114.609,115.22200000000001,,0.00027218290691344293
2014-02-04,109.86,110.75,109.65,112.22,1719500.0,112.24600000000001,113.90899999999999,115.10050000000001,,0.0045351473922903285
2014-02-05,121.5,124.86,120.0,127.09,3375013.0,114.178,114.76199999999999,115.72849999999998,,0.12740406320541764
2014-02-06,125.63,125.0,124.56,128.1,1698076.0,116.21600000000001,115.66399999999999,116.301,,0.0011212558065032407
2014-02-09,124.52,123.32,123.0,125.43,1118580.0,118.83599999999998,116.45600000000002,116.68499999999999,,-0.013440000000000007
2014-02-10,123.47,125.44,123.14,125.87,927777.0,121.874,117.375,117.24249999999999,,0.01719104768083035
2014-02-11,125.55,124.96,124.29,126.68,663433.0,124.71599999999998,118.481,117.6105,,-0.003826530612244916
2014-02-12,125.2,126.26,123.84,127.0,802326.0,124.99600000000001,119.58699999999999,118.05,116.64833333333333,0.010403329065300948
2014-02-13,126.71,127.34,125.61,127.5,783629.0,125.46399999999998,120.84,118.523,117.235,0.008553777918580696
2014-02-17,127.18,126.79,126.09,128.32,1020443.0,126.15800000000002,122.497,118.9405,117.69866666666667,-0.004319145594471441
2014-02-18,126.54,125.94,125.725,127.482,1096360.0,126.258,124.066,119.3375,118.17,-0.0067039987380709265
2014-02-19,125.98,127.56,125.77,128.06,882908.0,126.77799999999999,125.747,119.828,118.64933333333333,0.012863268222963242
2014-02-20,127.31,127.92,127.31,128.48,884196.0,127.10999999999999,126.05300000000003,120.4075,119.17,0.002822201317027373
2014-02-23,128.31,126.5,126.33,129.1,1050781.0,126.94200000000001,126.20300000000002,120.93350000000001,119.60166666666667,-0.011100687929956221
2014-02-24,126.64,125.5,125.38,127.83,823105.0,126.68400000000001,126.421,121.4385,119.93033333333332,-0.007905138339920903
2014-02-25,126.09,125.79,124.5,126.82,1105622.0,126.654,126.45600000000002,121.9155,120.31366666666666,0.002310756972111694
2014-02-26,125.82,125.03,124.43,126.09,888273.0,126.148,126.46300000000001,122.47200000000001,120.56133333333334,-0.006041815724620481
2014-02-27,125.05,127.36,125.05,128.44,1037800.0,126.03600000000002,126.57300000000001,123.08,120.891,0.018635527473406466
2014-03-02,125.92,126.28,125.13,127.18,777404.0,125.992,126.46699999999998,123.65350000000001,121.171,-0.008479899497487398
2014-03-03,128.33,126.42,126.16,129.99,1126658.0,126.176,126.42999999999999,124.4635,121.437,0.0011086474501109667
2014-03-04,126.42,125.59,125.081,126.71,692837.0,126.136,126.39499999999998,125.23049999999998,121.69,-0.006565416864420137
2014-03-05,126.23,126.74,125.86,127.32,715195.0,126.478,126.31299999999999,126.03,121.98966666666666,0.00915677999840736
2014-03-06,127.03,126.8,126.46,128.13,530359.0,126.36600000000001,126.20100000000002,126.12700000000002,122.33866666666668,0.00047341013097690343
2014-03-09,126.82,126.78,125.96,127.87,612913.0,126.46600000000001,126.22900000000001,126.21600000000001,122.69866666666667,-0.0001577287066245603
2014-03-10,127.25,126.94,126.48,128.49,1022216.0,126.57000000000001,126.37299999999998,126.397,123.08333333333333,0.001262028711153107
2014-03-11,125.86,126.49,125.26,127.01,986369.0,126.75,126.44299999999998,126.44949999999999,123.42466666666665,-0.0035449818812037792
2014-03-12,126.91,124.56,123.81,126.91,754219.0,126.314,126.396,126.4295,123.78,-0.015258123171792204
2014-03-13,124.45,124.6,123.87,125.48,521611.0,125.874,126.12,126.34650000000002,124.09333333333333,0.00032113037893388707
2014-03-16,125.61,126.3,124.86,126.5,607948.0,125.77799999999999,126.122,126.2945,124.47633333333333,0.013643659711075395
2014-03-17,126.19,125.95,124.65,126.19,802351.0,125.58,126.075,126.25250000000001,125.00066666666666,-0.0027711797307996555
2014-03-18,125.84,124.52,123.4835,126.5,575651.0,125.18599999999999,125.968,126.1815,125.47633333333333,-0.011353711790393017
2014-03-19,124.37,124.75,123.365,125.07,588664.0,125.224,125.769,126.04100000000001,125.943,0.0018470928364922035
2014-03-20,125.58,126.33,124.31,127.9199,1985670.0,125.57000000000001,125.72199999999998,125.9615,125.992,0.012665330661322693
2014-03-23,126.44,124.7,124.0919,127.15,525798.0,125.25,125.51399999999998,125.8715,125.982,-0.012902715111216656
2014-03-24,125.23,123.56,123.13,125.71,726346.0,124.772,125.176,125.77449999999999,125.99,-0.00914194065757823
2014-03-25,124.36,122.75,122.68,124.51,593260.0,124.418,124.80199999999999,125.62249999999999,125.90033333333332,-0.00655551958562639
2014-03-26,122.31,123.89,122.07,125.3,735264.0,124.24600000000001,124.73499999999999,125.5655,125.86466666666666,0.009287169042769827
2014-03-27,124.61,124.65,123.51,124.9,656527.0,123.91,124.74000000000001,125.43000000000002,125.811,0.006134474130276901
2014-03-30,125.26,126.5,124.76,126.6,534079.0,124.27000000000001,124.76000000000002,125.441,125.783,0.01484155635780171
2014-03-31,126.96,127.25,126.6,128.49,775414.0,125.008,124.89000000000001,125.4825,125.79833333333335,0.005928853754940677
2014-04-01,127.45,126.86,126.21,127.48,722378.0,125.83,125.124,125.546,125.829,-0.0030648330058938855
2014-04-02,127.06,126.4,125.56,127.3299,401903.0,126.332,125.28900000000002,125.529,125.79033333333334,-0.0036260444584580442
2014-04-03,125.14,121.64,121.57,125.77,904682.0,125.73000000000002,124.82000000000001,125.27099999999999,125.58099999999999,-0.037658227848101355
2014-04-06,121.44,118.11,117.52,121.66,1239119.0,124.05199999999999,124.16100000000002,124.8375,125.30133333333333,-0.029020059191055547
2014-04-07,118.07,119.16,117.3911,119.46,700289.0,122.43400000000001,123.721,124.4485,125.08999999999999,0.008890017780035508
2014-04-08,120.15,121.58,119.36,121.7,580187.0,121.378,123.60400000000001,124.20300000000002,124.94966666666667,0.020308828465928075
2014-04-09,122.63,118.61,118.61,124.618,702932.0,119.82000000000001,123.076,123.90549999999999,124.73566666666666,-0.024428359927619714
2014-04-10,117.29,116.25,116.15,118.6881,823308.0,118.742,122.23599999999999,123.48799999999999,124.36533333333334,-0.019897141893600923
2014-04-13,117.25,117.2,115.76,118.55,659066.0,118.55999999999999,121.306,123.03300000000002,124.06266666666667,0.008172043010752805
2014-04-14,117.41,117.54,115.86,118.49,539605.0,118.23600000000002,120.335,122.6125,123.76666666666667,0.0029010238907849484
2014-04-15,118.45,119.51,117.76,119.58,542349.0,117.822,119.6,122.362,123.56400000000001,0.01676025182916452
2014-04-16,119.48,120.84,119.07,122.34,803570.0,118.268,119.04400000000001,122.1665,123.36733333333333,0.0111287758346581
2014-04-20,120.63,121.4,119.95,121.524,476274.0,119.298,119.02000000000001,121.92,123.18733333333333,0.004634227077126907
2014-04-21,121.53,121.61,121.53,125.37,1222062.0,120.17999999999999,119.37,121.76550000000002,123.01500000000001,0.0017298187808896248
2014-04-22,121.4,122.15,120.56,123.09,592176.0,121.102,119.66900000000001,121.69500000000001,122.85533333333333,0.004440424307211588
2014-04-23,121.85,122.34,120.54,123.04,398917.0,121.668,119.745,121.67450000000001,122.71700000000001,0.0015554645927138289
2014-04-24,121.81,120.63,120.01,122.29,635841.0,121.626,119.947,121.5115,122.586,-0.013977439921530221
2014-04-27,121.6,121.44,119.6004,123.23,714128.0,121.63400000000001,120.46600000000001,121.351,122.48066666666666,0.006714747575230051
