date,open_price,close_price,lowest_price,highest_price,volume,L1_CP_R,CP_HP_R,CP_LP_R,L5_CP_SMA,L5_CP_SMA_R,L10_CP_SMA,L10_CP_SMA_R,L20_CP_SMA,L20_CP_SMA_R,L30_CP_SMA,L30_CP_SMA_R,L5_TV_SMA,L5_TV_SMA_R,L10_TV_SMA,L10_TV_SMA_R,L20_TV_SMA,L20_TV_SMA_R,L30_TV_SMA,L30_TV_SMA_R
2014-01-27,8.655,8.6375,8.57,8.6825,1860780.0,-0.0002893518518519711,-0.005182839044054144,0.007876312718786416,8.7915,-0.017516919752033178,8.883,-0.02763705955195317,,,,,1950356.0,-0.045928025447661835,1822636.8,0.020927482644924167,,,,
2014-01-28,8.555,8.5625,8.4875,8.655,1384560.0,-0.008683068017366069,-0.010687463893703009,0.008836524300441795,8.6905,-0.014728726770611655,8.8365,-0.03100775193798444,,,,,1941044.0,-0.28669314039248983,1841958.0,-0.24832162296860194,,,,
2014-01-29,8.6275,8.635,8.5475,8.645,1579252.0,0.008467153284671403,-0.0011567379988431936,0.010236911377595748,8.630500000000001,0.0005214066392442707,8.800500000000001,-0.018805749673314165,8.926675,-0.0326745400723113,,,1841323.2,-0.14232764785671514,1783776.4,-0.11465809279683259,2027707.0,-0.22116360992983697,,
2014-01-30,8.52,8.57,8.4065,8.6275,1780844.0,-0.007527504342790925,-0.006664734859460952,0.01944923571046231,8.609,-0.004530142873736764,8.763499999999999,-0.022080219090545805,8.897549999999999,-0.036813504841220146,,,1729192.8,0.02987012205926365,1816072.0,-0.019397909333991215,1956467.0,-0.08976537810246732,,
2014-02-02,8.5275,8.16,8.1475,8.5275,5754988.0,-0.04784130688448074,-0.04309586631486362,0.0015342129487572187,8.513,-0.04146599318689059,8.686,-0.060557218512548916,8.851675,-0.07814057791321982,,,2472084.8,1.3279897194465176,2213988.4,1.5993758594218472,2096420.8,1.7451492562943471,,
2014-02-03,8.2175,8.35,8.165,8.38,3022764.0,0.023284313725490113,-0.0035799522673032325,0.022657685241886272,8.455499999999999,-0.01247708592040675,8.6235,-0.03171566069461362,8.815175,-0.052769797536634355,,,2704481.6,0.11768702734010095,2327418.8,0.29876238861695215,2122479.4,0.42416647247553985,,
2014-02-04,8.335,8.2725,8.2275,8.3525,2497124.0,-0.00928143712574836,-0.009577970667464575,0.005469462169553463,8.3975,-0.014885382554331694,8.544,-0.0317766853932584,8.774125,-0.057170942971521255,,,2926994.4,-0.14686410059411115,2434019.2,0.02592617182313095,2108954.4,0.18405784401976644,,
2014-02-05,8.2725,8.365,8.245,8.3825,2198808.0,0.011181625868842415,-0.0020876826722338038,0.014554275318374943,8.3435,0.0025768562353927216,8.487,-0.014374926357959228,8.739374999999999,-0.042837731531144785,,,3050905.6,-0.27929333506746323,2446114.4,-0.10110173097382524,2079484.0,0.057381542728869306,,
2014-02-06,8.375,8.4775,8.3501,8.4825,2406764.0,0.013448894202032102,-0.000589448865310982,0.015257302307756682,8.325,0.018318318318318205,8.466999999999999,0.001240108657139638,8.7125,-0.026972740315638566,,,3176089.6,-0.24222414884013355,2452641.2,-0.018705222761486784,2119112.2,0.1357416563408016,,
2014-02-09,8.46,8.485,8.3888,8.5075,1664312.0,0.0008846947803007321,-0.002644725242433199,0.011467671180621641,8.39,0.011323003575685275,8.4515,0.003963793409453853,8.682875,-0.022789110749607655,,,2357954.4,-0.2941712528452628,2415019.6,-0.3108494854451699,2133772.4,-0.22001428081083063,,
2014-02-10,8.4775,8.645,8.4775,8.6475,1918436.0,0.018856806128461967,-0.0002891008962129238,0.019758183426717757,8.449,0.023198011599005808,8.452250000000001,0.022804578662486197,8.667625,-0.0026102882854299736,,,2137088.8,-0.10231339006596252,2420785.2,-0.20751498315505235,2121711.0,-0.09580711039345136,,
2014-02-11,8.6725,8.6825,8.615,8.715,2987012.0,0.00433776749566217,-0.003729202524383357,0.00783517121300048,8.531,0.017758762161528274,8.46425,0.02578491892370849,8.650375,0.003713711833301936,,,2235066.4,0.3364309892538315,2581030.4,0.15729438909359605,2211494.2,0.3506759366585721,,
2014-02-12,8.6375,8.695,8.5925,8.7917,3762332.0,0.0014396775122373917,-0.010999010430292278,0.011929007855688178,8.597,0.011399325346050926,8.47025,0.026534045630294267,8.635375,0.006904737779193093,8.774533333333332,-0.009064109772219497,2547771.2,0.47671502056385595,2799338.4,0.3440075697886329,2291557.4,0.6418231548552964,2284917.466666667,0.6465942664829147
2014-02-13,8.695,8.57,8.56,8.7075,3133940.0,-0.014376078205865395,-0.01579098478323282,0.001168224299065379,8.6155,-0.005281179269920555,8.47025,0.011776511909329823,8.616875,-0.005439907158917845,8.755116666666668,-0.02114382637200729,2693206.4,0.16364642531667828,2934648.0,0.06791001850988598,2375360.0,0.31935369796578206,2282527.3333333335,0.3730131307664515
