epoch,accuracy,num_predictions
0,54.99,28698
1,56.76,33015
2,56.26,50244
3,55.66,66224
4,56.6,63777
5,57.56,69256
6,57.86,92763
7,57.53,116187
8,59.41,102945
9,59.26,114558
10,59.97,112449
11,60.02,113288
12,59.19,123892
13,59.26,123552
14,59.67,120477
15,59.56,121861
16,59.34,124404
17,59.19,126976
18,59.48,123391
19,59.29,126275
20,59.3,126724
21,59.34,126570
22,59.22,128138
23,59.37,126208
24,59.18,128780
25,59.44,125775
26,59.28,127827
27,59.13,130287
28,59.35,127673
29,59.36,128165
30,59.3,128821
31,59.39,127948
32,59.39,128556
33,59.31,129726
34,59.41,129337
35,59.52,127811
36,59.42,130246
37,59.46,130018
38,59.55,128413
39,59.48,129863
40,59.57,128489
41,59.49,130014
42,59.5,130170
43,59.56,129687
44,59.35,132399
45,59.54,129962
46,59.49,130705
47,59.57,129982
48,59.51,130558
49,59.51,130649
