epoch,accuracy,num_predictions
0,52.62,5091
1,52.75,14620
2,53.0,20817
3,52.84,26851
4,52.79,34770
5,53.21,38894
6,53.57,40416
7,53.68,43411
8,53.58,51264
9,53.55,55228
10,53.62,56442
11,53.66,59044
12,53.59,61467
13,53.74,62457
14,53.92,63270
15,54.11,61997
16,54.12,64007
17,53.29,79130
18,53.45,78450
19,53.65,78578
20,53.82,77099
21,53.62,83794
22,53.62,86150
23,54.02,82318
24,53.89,87375
25,53.91,90462
26,53.93,91848
27,53.92,94914
28,54.13,92461
29,54.09,97967
