epoch,loss
0,29.04
1,47.11
2,56.25
3,55.08
4,53.75
5,51.95
6,55.92
7,56.12
8,55.91
9,56.84
10,56.01
11,56.5
12,57.45
13,58.06
14,58.41
15,59.01
16,60.02
17,60.73
18,61.19
19,61.54
20,62.86
21,62.81
22,63.07
23,63.09
24,62.98
25,63.01
26,64.25
27,64.6
28,64.97
29,65.48
30,65.78
31,66.03
32,66.18
33,66.15
34,66.23
35,66.52
36,66.56
37,66.63
38,67.08
39,68.24
40,68.72
41,68.75
42,68.82
43,69.03
44,69.05
45,69.14
46,69.21
47,69.29
48,69.21
49,68.73
