epoch,accuracy,num_predictions
0,60.15,45423
1,62.05,87345
2,59.16,129330
3,60.02,121016
4,61.32,111351
5,62.61,101211
6,61.79,117945
7,62.29,116990
8,62.93,114084
9,63.33,116219
10,64.47,109606
11,65.11,109379
12,65.42,111745
13,65.93,112288
14,66.27,112434
15,66.61,113501
16,66.73,116627
17,66.9,118626
18,67.2,119298
19,67.44,119793
20,67.0,126138
21,67.56,123963
22,67.88,123850
23,68.38,122236
24,68.85,120284
25,69.35,118810
26,69.28,123404
27,69.25,124786
28,69.38,125659
29,69.49,127126
30,69.72,127458
31,69.76,128217
32,69.87,128431
33,70.22,127112
34,70.51,126405
35,70.49,127502
36,70.68,127012
37,70.8,126831
38,70.77,128581
39,70.07,135469
40,70.0,137614
41,70.4,136200
42,70.72,135238
43,70.7,136151
44,70.97,135210
45,71.08,135123
46,71.18,135046
47,71.27,135036
48,71.47,134004
49,71.91,130648
