epoch,loss
0,50.61
1,51.34
2,55.44
3,61.94
4,62.1
5,62.06
6,61.4
7,63.01
8,63.44
9,63.76
10,64.11
11,64.21
12,64.33
13,64.37
14,64.59
15,64.57
16,64.89
17,64.87
18,64.65
19,64.78
20,64.82
21,64.86
22,64.97
23,65.04
24,65.07
25,65.13
26,65.09
27,65.08
28,65.36
29,65.53
30,65.57
31,65.4
32,65.59
33,65.71
34,65.73
35,65.81
36,65.88
37,65.97
38,65.93
39,66.14
40,65.98
41,65.94
42,66.1
43,66.05
44,66.21
45,66.18
46,66.16
47,66.14
48,66.29
49,66.27
