epoch,accuracy,num_predictions
0,51.6,3281
1,51.28,13847
2,51.79,19860
3,51.73,26549
4,51.72,34638
5,51.98,39401
6,51.94,43500
7,51.98,52629
8,52.07,59674
9,52.32,62156
10,52.36,67176
11,52.42,81535
12,52.39,90934
13,52.12,116141
14,52.27,116270
15,52.33,118591
16,52.25,130302
17,52.54,123156
18,52.53,130051
19,52.91,120687
20,52.67,134976
21,52.93,126180
22,53.06,131464
23,52.88,144156
24,53.0,146730
25,52.98,152324
26,52.93,159443
27,53.16,153674
28,53.22,157507
29,53.17,166982
