epoch,accuracy,num_predictions
0,57.83,3936
1,56.18,15115
2,56.92,15735
3,54.9,38565
4,56.71,23245
5,54.72,53219
6,56.27,45061
7,56.53,41513
8,56.23,49385
9,56.39,50860
10,56.58,52311
11,56.8,52303
12,57.65,48982
13,57.65,53037
14,57.29,58168
15,57.42,59020
16,57.45,61704
17,57.82,61591
18,57.76,63269
19,57.94,63196
20,58.59,60715
21,59.91,53884
22,58.77,65320
23,59.07,65025
24,59.75,62560
25,60.08,62522
26,60.43,61065
27,60.51,62833
28,59.92,68829
29,60.07,69956
30,60.06,71028
31,60.92,66626
32,61.32,66376
33,61.29,67104
34,61.64,66915
35,62.25,64898
36,62.14,67154
37,62.01,68716
38,61.92,69771
39,61.91,70773
40,62.37,69808
41,62.4,70636
42,62.95,67975
43,62.33,72110
44,62.86,70900
45,62.8,73433
46,62.97,72945
47,62.77,74330
48,63.16,73334
49,63.33,72947
