epoch,accuracy,num_predictions
0,48.6,107
1,52.48,3041
2,53.0,5181
3,52.63,13294
4,50.93,29790
5,54.31,17014
6,54.01,26662
7,54.62,24684
8,54.21,31486
9,54.65,33911
10,55.04,35219
11,54.15,45390
12,56.62,26256
13,54.75,43101
14,55.34,42745
15,55.61,43621
16,55.74,46918
17,56.07,47313
18,56.38,48317
19,56.72,48810
20,56.84,50040
21,57.15,50215
22,57.28,52815
23,57.58,54101
24,57.92,54515
25,58.19,55151
26,58.8,54594
27,59.34,53891
28,59.8,53773
29,59.49,57094
30,59.63,58957
31,59.7,60701
32,59.79,61730
33,60.03,62260
34,60.15,62792
35,60.4,62881
36,61.38,60066
37,61.78,58864
38,61.89,59507
39,61.52,62507
40,60.73,67581
41,60.29,70743
42,60.7,69283
43,60.21,72514
44,60.69,71533
45,61.47,67090
46,61.6,66635
47,61.47,68403
48,62.38,65520
49,63.75,60189
