epoch,accuracy,num_predictions
0,49.4,13706
1,50.06,6314
2,52.31,4890
3,51.63,10806
4,51.4,19842
5,51.59,26825
6,51.71,35864
7,51.73,42793
8,51.72,47593
9,51.77,50394
10,51.82,51819
11,52.12,50444
12,52.5,47506
13,52.66,45652
14,52.66,47834
15,52.33,54726
16,52.4,56593
17,52.4,58932
18,52.5,59112
19,52.51,60828
20,52.62,61444
21,52.76,62175
22,52.72,64169
23,52.82,64163
24,52.87,65041
25,52.88,65491
26,52.9,65806
27,52.87,66687
28,52.84,68996
29,52.98,67953
30,52.92,69165
31,52.99,68664
32,53.02,69943
33,53.12,69467
34,53.08,70978
35,53.18,70940
36,53.23,71199
37,53.28,71533
38,53.37,70507
39,53.38,72649
40,53.48,71598
41,53.51,72014
42,53.56,72011
43,53.66,71378
44,53.67,72000
45,53.67,72064
46,53.85,70424
47,53.76,71666
48,53.91,70711
49,54.08,69232
