epoch,accuracy,num_predictions
0,52.76,12451
1,52.27,22423
2,51.85,30619
3,52.01,36669
4,52.05,41427
5,52.24,47200
6,52.29,50495
7,52.4,52831
8,52.27,56981
9,52.37,61405
10,52.31,67662
11,52.45,68969
12,52.38,75246
13,52.47,78094
14,52.51,81812
15,52.61,81626
16,52.57,89198
17,52.55,93957
18,52.76,90624
19,52.71,98879
20,52.7,100622
21,52.7,105311
22,52.75,109675
23,52.82,110297
24,52.9,110490
25,53.15,104996
26,53.09,110124
27,53.24,109025
28,53.12,116351
29,53.31,111638
