epoch,accuracy,num_predictions
0,54.12,656
1,52.99,10561
2,54.53,14455
3,53.38,24244
4,52.82,34563
5,52.92,34591
6,52.47,48395
7,51.98,73895
8,52.4,74546
9,52.17,88345
10,52.45,87356
11,53.05,81597
12,53.41,79709
13,53.54,86877
14,54.03,86335
15,54.18,90346
16,54.83,86052
17,55.49,80451
18,55.95,80738
19,56.05,81931
20,55.85,87094
21,55.92,90491
22,57.13,84363
23,57.56,80823
24,57.21,88077
25,57.64,88315
26,58.05,86885
27,58.19,87493
28,58.76,85106
29,58.91,85347
30,59.22,82740
31,59.31,82441
32,59.21,84933
33,59.09,87731
34,59.12,86966
35,59.22,86404
36,59.78,81697
37,59.89,81399
38,59.21,88617
39,59.21,90317
40,59.84,87166
41,60.31,81734
42,60.94,78036
43,61.08,78432
44,60.91,78921
45,60.78,79086
46,60.48,83503
47,60.19,86795
48,60.52,84909
49,61.17,81140
